userToken,timestamp,objectID,eventType,eventName
817dc133-9bad-4ad8-91a9-f57dd19c39bf,1778720531914,6a196bec7f90a561d71288fb,view,Product Viewed
817dc133-9bad-4ad8-91a9-f57dd19c39bf,1778720771466,6a196bec7f90a561d71288fb,click,Added To Cart
6a196c12f0151eda6309dc50,1779314956886,6a196bec7f90a561d7128892,view,Product Viewed
6a196c12f0151eda6309dc50,1779318103756,6a196bec7f90a561d7128892,click,Added To Cart
6a196c12f0151eda6309dc50,1779318335474,6a196bec7f90a561d7128892,conversion,Order Completed
6a196c12f0151eda6309dc50,1779315282064,6a196bec7f90a561d71288b6,view,Product Viewed
6a196c12f0151eda6309dc50,1779318089780,6a196bec7f90a561d71288b6,click,Added To Cart
6a196c12f0151eda6309dc50,1779318335474,6a196bec7f90a561d71288b6,conversion,Order Completed
6a196c12f0151eda6309dc51,1779724195598,6a196bec7f90a561d71288ef,view,Product Viewed
6a196c12f0151eda6309dc51,1779725051600,6a196bec7f90a561d71288ef,click,Added To Cart
6a196c12f0151eda6309dc51,1779725151369,6a196bec7f90a561d71288ef,conversion,Order Completed
17737c66-e94c-48e0-ba5f-7a54176ed034,1779148143161,6a196bec7f90a561d71288fb,view,Product Viewed
17737c66-e94c-48e0-ba5f-7a54176ed034,1779150240405,6a196bec7f90a561d71288fb,click,Added To Cart
17737c66-e94c-48e0-ba5f-7a54176ed034,1779150439045,6a196bec7f90a561d71288fb,conversion,Order Completed
5e1bdc0f-5a16-47df-83d2-4bdf9feef5cf,1777603886603,6a196bec7f90a561d7128910,view,Product Viewed
5e1bdc0f-5a16-47df-83d2-4bdf9feef5cf,1777606828079,6a196bec7f90a561d7128910,click,Added To Cart
5e1bdc0f-5a16-47df-83d2-4bdf9feef5cf,1777604054712,6a196bec7f90a561d71288fb,view,Product Viewed
5e1bdc0f-5a16-47df-83d2-4bdf9feef5cf,1777606860152,6a196bec7f90a561d71288fb,click,Added To Cart
5e1bdc0f-5a16-47df-83d2-4bdf9feef5cf,1777606791481,6a196bec7f90a561d71288d0,view,Product Viewed
5e1bdc0f-5a16-47df-83d2-4bdf9feef5cf,1777606866548,6a196bec7f90a561d71288d0,click,Added To Cart
f7c10c59-580d-472f-a03d-09924219a509,1777653469648,6a196bec7f90a561d71288d7,view,Product Viewed
f7c10c59-580d-472f-a03d-09924219a509,1777654268082,6a196bec7f90a561d71288d7,click,Added To Cart
f7c10c59-580d-472f-a03d-09924219a509,1777654525004,6a196bec7f90a561d71288d7,conversion,Order Completed
f7c10c59-580d-472f-a03d-09924219a509,1777652102939,6a196bec7f90a561d71288fa,view,Product Viewed
f7c10c59-580d-472f-a03d-09924219a509,1777654374303,6a196bec7f90a561d71288fa,click,Added To Cart
f7c10c59-580d-472f-a03d-09924219a509,1777654525004,6a196bec7f90a561d71288fa,conversion,Order Completed
b0011f2e-982b-45b9-85ef-d954cee8f290,1778697640748,6a196bec7f90a561d71288ac,view,Product Viewed
b0011f2e-982b-45b9-85ef-d954cee8f290,1778699443339,6a196bec7f90a561d71288ac,click,Added To Cart
b0011f2e-982b-45b9-85ef-d954cee8f290,1778699669797,6a196bec7f90a561d71288ac,conversion,Order Completed
b0011f2e-982b-45b9-85ef-d954cee8f290,1778697474661,6a196bec7f90a561d712890f,view,Product Viewed
b0011f2e-982b-45b9-85ef-d954cee8f290,1778699453153,6a196bec7f90a561d712890f,click,Added To Cart
b0011f2e-982b-45b9-85ef-d954cee8f290,1778699669797,6a196bec7f90a561d712890f,conversion,Order Completed
9e64af4d-bf12-4455-8cf1-18c14f0d4cca,1779911207724,6a196bec7f90a561d7128930,view,Product Viewed
9e64af4d-bf12-4455-8cf1-18c14f0d4cca,1779912261403,6a196bec7f90a561d7128930,click,Added To Cart
9e64af4d-bf12-4455-8cf1-18c14f0d4cca,1779912365512,6a196bec7f90a561d7128930,conversion,Order Completed
9e64af4d-bf12-4455-8cf1-18c14f0d4cca,1779909632919,6a196bec7f90a561d7128956,view,Product Viewed
9e64af4d-bf12-4455-8cf1-18c14f0d4cca,1779912197863,6a196bec7f90a561d7128956,click,Added To Cart
9e64af4d-bf12-4455-8cf1-18c14f0d4cca,1779912365512,6a196bec7f90a561d7128956,conversion,Order Completed
37fa020a-9f36-41ea-88aa-93c254d38d85,1777776441639,6a196bec7f90a561d71288d0,view,Product Viewed
37fa020a-9f36-41ea-88aa-93c254d38d85,1777779330241,6a196bec7f90a561d71288d0,click,Added To Cart
37fa020a-9f36-41ea-88aa-93c254d38d85,1777779464110,6a196bec7f90a561d71288d0,conversion,Order Completed
37fa020a-9f36-41ea-88aa-93c254d38d85,1777778655764,6a196bec7f90a561d7128890,view,Product Viewed
37fa020a-9f36-41ea-88aa-93c254d38d85,1777779273866,6a196bec7f90a561d7128890,click,Added To Cart
37fa020a-9f36-41ea-88aa-93c254d38d85,1777779464110,6a196bec7f90a561d7128890,conversion,Order Completed
aa159960-1ac9-4679-b3be-63c95d1156ca,1779407357322,6a196bec7f90a561d7128890,view,Product Viewed
aa159960-1ac9-4679-b3be-63c95d1156ca,1779409087864,6a196bec7f90a561d7128890,click,Added To Cart
aa159960-1ac9-4679-b3be-63c95d1156ca,1779409342794,6a196bec7f90a561d7128890,conversion,Order Completed
aef7e0e4-6d09-4b2b-aad7-0156f0cebfdc,1778183625931,6a196bec7f90a561d71288ec,view,Product Viewed
aef7e0e4-6d09-4b2b-aad7-0156f0cebfdc,1778185051876,6a196bec7f90a561d71288ec,click,Added To Cart
aef7e0e4-6d09-4b2b-aad7-0156f0cebfdc,1778185274719,6a196bec7f90a561d71288ec,conversion,Order Completed
6a196c12f0151eda6309dc52,1779539214963,6a196bec7f90a561d71288e4,view,Product Viewed
6a196c12f0151eda6309dc52,1779540871338,6a196bec7f90a561d71288e4,click,Added To Cart
6a196c12f0151eda6309dc52,1779541078544,6a196bec7f90a561d71288e4,conversion,Order Completed
6a196c12f0151eda6309dc53,1777784172336,6a196bec7f90a561d7128885,view,Product Viewed
6a196c12f0151eda6309dc53,1777785282549,6a196bec7f90a561d7128885,click,Added To Cart
6a196c12f0151eda6309dc53,1777785422261,6a196bec7f90a561d7128885,conversion,Order Completed
6a196c12f0151eda6309dc53,1777783790530,6a196bec7f90a561d7128888,view,Product Viewed
6a196c12f0151eda6309dc53,1777785192896,6a196bec7f90a561d7128888,click,Added To Cart
6a196c12f0151eda6309dc53,1777785422261,6a196bec7f90a561d7128888,conversion,Order Completed
6a196c12f0151eda6309dc54,1779804409834,6a196bec7f90a561d71288ee,view,Product Viewed
6a196c12f0151eda6309dc54,1779806301205,6a196bec7f90a561d71288ee,click,Added To Cart
6a196c12f0151eda6309dc54,1779806515900,6a196bec7f90a561d71288ee,conversion,Order Completed
6a196c12f0151eda6309dc54,1779805947919,6a196bec7f90a561d71288b6,view,Product Viewed
6a196c12f0151eda6309dc54,1779806434505,6a196bec7f90a561d71288b6,click,Added To Cart
6a196c12f0151eda6309dc54,1779806515900,6a196bec7f90a561d71288b6,conversion,Order Completed
6a196c12f0151eda6309dc55,1778884219474,6a196bec7f90a561d71288c4,view,Product Viewed
6a196c12f0151eda6309dc55,1778887438272,6a196bec7f90a561d71288c4,click,Added To Cart
6a196c12f0151eda6309dc55,1778887690215,6a196bec7f90a561d71288c4,conversion,Order Completed
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778036354225,6a196bec7f90a561d7128885,view,Product Viewed
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778039128780,6a196bec7f90a561d7128885,click,Added To Cart
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778039318849,6a196bec7f90a561d7128885,conversion,Order Completed
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778036508739,6a196bec7f90a561d7128947,view,Product Viewed
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778039206952,6a196bec7f90a561d7128947,click,Added To Cart
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778039318849,6a196bec7f90a561d7128947,conversion,Order Completed
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778037474832,6a196bec7f90a561d712889f,view,Product Viewed
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778039224915,6a196bec7f90a561d712889f,click,Added To Cart
2ae25c09-7abc-4518-b2a0-b0cd423115af,1778039318849,6a196bec7f90a561d712889f,conversion,Order Completed
6a196c12f0151eda6309dc56,1777754797138,6a196bec7f90a561d7128948,view,Product Viewed
6a196c12f0151eda6309dc56,1777756867844,6a196bec7f90a561d7128948,click,Added To Cart
6a196c12f0151eda6309dc56,1777756933104,6a196bec7f90a561d7128948,conversion,Order Completed
96c9f78a-89b7-473c-b093-7eca624ee5e9,1779011799618,6a196bec7f90a561d712891b,view,Product Viewed
96c9f78a-89b7-473c-b093-7eca624ee5e9,1779012976330,6a196bec7f90a561d712891b,click,Added To Cart
165e290e-f63a-43b4-a6e8-5939e9fe8220,1779988831093,6a196bec7f90a561d712894f,view,Product Viewed
165e290e-f63a-43b4-a6e8-5939e9fe8220,1779991238964,6a196bec7f90a561d712894f,click,Added To Cart
165e290e-f63a-43b4-a6e8-5939e9fe8220,1779988811608,6a196bec7f90a561d712891b,view,Product Viewed
165e290e-f63a-43b4-a6e8-5939e9fe8220,1779991132979,6a196bec7f90a561d712891b,click,Added To Cart
6a196c12f0151eda6309dc57,1780032619765,6a196bec7f90a561d7128947,view,Product Viewed
6a196c12f0151eda6309dc57,1780033709365,6a196bec7f90a561d7128947,click,Added To Cart
6a196c12f0151eda6309dc57,1780033887484,6a196bec7f90a561d7128947,conversion,Order Completed
6a196c12f0151eda6309dc57,1780031917946,6a196bec7f90a561d7128885,view,Product Viewed
6a196c12f0151eda6309dc57,1780033641198,6a196bec7f90a561d7128885,click,Added To Cart
6a196c12f0151eda6309dc57,1780033887484,6a196bec7f90a561d7128885,conversion,Order Completed
68860b8c-5235-4991-abda-dff6390bebaf,1779492502172,6a196bec7f90a561d7128871,view,Product Viewed
68860b8c-5235-4991-abda-dff6390bebaf,1779495977400,6a196bec7f90a561d7128871,click,Added To Cart
68860b8c-5235-4991-abda-dff6390bebaf,1779496079472,6a196bec7f90a561d7128871,conversion,Order Completed
68860b8c-5235-4991-abda-dff6390bebaf,1779495745481,6a196bec7f90a561d7128892,view,Product Viewed
68860b8c-5235-4991-abda-dff6390bebaf,1779496002475,6a196bec7f90a561d7128892,click,Added To Cart
68860b8c-5235-4991-abda-dff6390bebaf,1779496079472,6a196bec7f90a561d7128892,conversion,Order Completed
d1f6891d-652f-4043-ba94-425d350122b0,1777587305700,6a196bec7f90a561d7128946,view,Product Viewed
d1f6891d-652f-4043-ba94-425d350122b0,1777589275164,6a196bec7f90a561d7128946,click,Added To Cart
d1f6891d-652f-4043-ba94-425d350122b0,1777589338487,6a196bec7f90a561d7128946,conversion,Order Completed
6a196c12f0151eda6309dc58,1778225963816,6a196bec7f90a561d7128945,view,Product Viewed
6a196c12f0151eda6309dc58,1778229250591,6a196bec7f90a561d7128945,click,Added To Cart
6a196c12f0151eda6309dc58,1778229514531,6a196bec7f90a561d7128945,conversion,Order Completed
6a196c12f0151eda6309dc58,1778226197757,6a196bec7f90a561d7128938,view,Product Viewed
6a196c12f0151eda6309dc58,1778229420955,6a196bec7f90a561d7128938,click,Added To Cart
